scope,model,r2,aic,aic_weight,w_p,gain_factor
overall,Linear_basic,0.9383039546483755,-478.7760639785771,0.6832214325386924,,
overall,StaticGain_basic,0.9383039546483755,-476.7760639785765,0.2513431187986079,0.0,0.8905884969698296
overall,SeqGain_basic,0.9371869232101211,-474.0845469487129,0.06543521033163557,0.009900990099009901,0.892591887108757
overall,Static_basic,0.9241422512802411,-447.78006023243097,1.270178588813573e-07,0.0,
overall,Seq_basic,0.9236164591148672,-446.7439531606607,7.5661856915554e-08,0.009900990099009901,
overall,Linear_weber,0.9385682944623209,-444.4250824790863,2.3732343466624816e-08,,
overall,StaticGain_weber,0.9385682950793233,-442.4250824790814,8.730641252169327e-09,0.0,0.8619293800546733
overall,SeqGain_weber,0.9370534633270631,-440.4104204322712,3.1883635696578615e-09,0.009900990099009901,0.8639700617923655
overall,Static_weber,0.9094411338476054,-395.64308617910353,6.059889714342021e-19,0.043613335984536775,
overall,Seq_weber,0.9082412138418294,-393.8655529324793,2.4915997589431853e-19,0.009900990099009901,
range:long,Linear_basic,0.9023474491600597,-175.10201263862513,0.28287643296964826,,
range:long,Static_basic,0.9023380197985182,-175.09718485571673,0.28219442344515583,0.0,
range:long,Seq_basic,0.9016378552840816,-174.74000050796883,0.23604066614317568,0.009900990099009901,
range:long,StaticGain_basic,0.9023474491600657,-173.1020126386288,0.10406442408163594,0.30616128884882093,1.4459312949487781
range:long,SeqGain_basic,0.9017324279462842,-172.78809734249037,0.08894805268309898,0.009900990099009901,1.0103470422098173
range:long,Linear_weber,0.9012451094434525,-165.60381601155973,0.002449568425401826,,
range:long,Static_weber,0.8997438790488801,-163.6590082357664,0.0009263602957261499,0.0,
range:long,StaticGain_weber,0.9012451068471604,-163.60381601155962,0.0009011458634479823,0.17447152336173918,1.3010659147051702
range:long,SeqGain_weber,0.9004772466846459,-163.51676572678838,0.0008627646934141952,0.009900990099009901,1.0816545277961418
range:long,Seq_weber,0.898209045433133,-163.19938051572683,0.000736161399295146,0.009900990099009901,
range:medium,Static_basic,0.9018470067952605,-153.1261519843535,0.2848512281286183,0.002977915855971178,
range:medium,Linear_basic,0.9018470067952578,-153.1261519843519,0.28485122812839164,,
range:medium,Seq_basic,0.9011279532989801,-152.76119497733293,0.23733877097650383,0.009900990099009901,
range:medium,StaticGain_basic,0.9018470067952596,-151.12615198435316,0.10479091062093727,0.3995928661056684,1.660576719883503
range:medium,SeqGain_basic,0.9011424854711595,-150.7685444966029,0.08763349549603279,0.009900990099009901,1.0040319478952964
range:medium,Seq_weber,0.9004632089158526,-137.94909796865235,0.0001441991468706584,0.009900990099009901,
range:medium,Linear_weber,0.9010838215746853,-137.91591018636927,0.00014182606570356567,,
range:medium,Static_weber,0.9012421326373754,-137.90951490141347,0.0001413732809590718,0.0,
range:medium,SeqGain_weber,0.8993428047848255,-136.0138418188211,5.4793262188249005e-05,0.01700713270385435,1.0163669775047568
range:medium,StaticGain_weber,0.9010838180990275,-135.91591018636953,5.217489379457868e-05,0.32205966992530005,1.4810992085970898
range:short,Static_weber,0.8924490814439369,-174.6268327624477,0.3311573362510561,0.0803439480783828,
range:short,Linear_weber,0.8924490890345729,-174.62683276244408,0.3311573362504584,,
range:short,StaticGain_weber,0.8924490779638868,-172.62683276244752,0.12182597579985155,0.5858505447486222,2.2205898512453714
range:short,SeqGain_weber,0.8900611295241366,-172.23618737643258,0.10021029276081218,0.009900990099009901,0.9257565182202496
range:short,Seq_weber,0.8733775331374984,-170.8086816800573,0.049083260861245044,0.025601686782112568,
range:short,Linear_basic,0.892625843129907,-169.06997564892325,0.02057681675438032,,
range:short,Static_basic,0.8925249157708567,-169.02299974807278,0.020099141271854883,0.0,
range:short,Seq_basic,0.8906946844321633,-168.17870071135752,0.013177720636079866,0.009900990099009901,
range:short,StaticGain_basic,0.8926258431299104,-167.069975648925,0.007569787848695273,0.2289888994666435,1.3109378943788228
range:short,SeqGain_basic,0.8909522492907177,-166.29665874254286,0.005142331565566278,0.009900990099009901,1.0172967896620981
