correct,response,range_category,trial,stimulus_id
0.24982,0.31,short,0,0
0.48029,0.51,short,1,1
0.3928,0.41,short,2,2
0.33946,0.35,short,3,3
0.16241,0.18,short,4,4
0.1624,0.17,short,5,5
0.12323,0.12,short,6,6
0.44647,0.51,short,7,7
0.34045,0.31,short,8,8
0.38323,0.37,short,9,9
0.24982,0.35,short,10,0
0.48029,0.5,short,11,1
0.3928,0.5,short,12,2
0.33946,0.35,short,13,3
0.16241,0.2,short,14,4
0.1624,0.2,short,15,5
0.12323,0.15,short,16,6
0.44647,0.6,short,17,7
0.34045,0.35,short,18,8
0.38323,0.45,short,19,9
0.24982,0.35,short,20,0
0.48029,0.5,short,21,1
0.3928,0.5,short,22,2
0.33946,0.35,short,23,3
0.16241,0.2,short,24,4
0.1624,0.2,short,25,5
0.12323,0.15,short,26,6
0.44647,0.6,short,27,7
0.34045,0.35,short,28,8
0.38323,0.5,short,29,9
0.24982,0.4,short,30,0
0.48029,0.5,short,31,1
0.3928,0.5,short,32,2
0.33946,0.4,short,33,3
0.16241,0.2,short,34,4
0.1624,0.2,short,35,5
0.12323,0.15,short,36,6
0.44647,0.55,short,37,7
0.34045,0.35,short,38,8
0.38323,0.45,short,39,9
0.24982,0.45,short,40,0
0.48029,0.5,short,41,1
0.3928,0.45,short,42,2
0.33946,0.4,short,43,3
0.16241,0.2,short,44,4
0.1624,0.2,short,45,5
0.12323,0.15,short,46,6
0.44647,0.55,short,47,7
0.34045,0.35,short,48,8
0.38323,0.45,short,49,9
0.48727,0.5,medium,0,0
0.77536,0.75,medium,1,1
0.666,0.67,medium,2,2
0.59933,0.61,medium,3,3
0.37801,0.4,medium,4,4
0.378,0.3,medium,5,5
0.32904,0.3,medium,6,6
0.73309,0.75,medium,7,7
0.60056,0.6,medium,8,8
0.65404,0.7,medium,9,9
0.48727,0.5,medium,10,0
0.77536,0.75,medium,11,1
0.666,0.65,medium,12,2
0.59933,0.55,medium,13,3
0.37801,0.4,medium,14,4
0.378,0.3,medium,15,5
0.32904,0.3,medium,16,6
0.73309,0.75,medium,17,7
0.60056,0.6,medium,18,8
0.65404,0.65,medium,19,9
0.48727,0.5,medium,20,0
0.77536,0.75,medium,21,1
0.666,0.65,medium,22,2
0.59933,0.55,medium,23,3
0.37801,0.4,medium,24,4
0.378,0.35,medium,25,5
0.32904,0.3,medium,26,6
0.73309,0.7,medium,27,7
0.60056,0.6,medium,28,8
0.65404,0.65,medium,29,9
0.48727,0.52,medium,30,0
0.77536,0.75,medium,31,1
0.666,0.65,medium,32,2
0.59933,0.53,medium,33,3
0.37801,0.38,medium,34,4
0.378,0.31,medium,35,5
0.32904,0.29,medium,36,6
0.73309,0.73,medium,37,7
0.60056,0.61,medium,38,8
0.65404,0.67,medium,39,9
0.48727,0.5,medium,40,0
0.77536,0.75,medium,41,1
0.666,0.65,medium,42,2
0.59933,0.5,medium,43,3
0.37801,0.3,medium,44,4
0.378,0.3,medium,45,5
0.32904,0.25,medium,46,6
0.73309,0.75,medium,47,7
0.60056,0.6,medium,48,8
0.65404,0.65,medium,49,9
0.64982,0.5,long,0,0
0.88029,0.85,long,1,1
0.7928,0.7,long,2,2
0.73946,0.65,long,3,3
0.56241,0.5,long,4,4
0.5624,0.5,long,5,5
0.52323,0.5,long,6,6
0.84647,0.85,long,7,7
0.74045,0.7,long,8,8
0.78323,0.75,long,9,9
0.64982,0.5,long,10,0
0.88029,0.85,long,11,1
0.7928,0.75,long,12,2
0.73946,0.7,long,13,3
0.56241,0.5,long,14,4
0.5624,0.5,long,15,5
0.52323,0.5,long,16,6
0.84647,0.85,long,17,7
0.74045,0.7,long,18,8
0.78323,0.75,long,19,9
0.64982,0.5,long,20,0
0.88029,0.84,long,21,1
0.7928,0.7,long,22,2
0.73946,0.7,long,23,3
0.56241,0.5,long,24,4
0.5624,0.5,long,25,5
0.52323,0.5,long,26,6
0.84647,0.85,long,27,7
0.74045,0.7,long,28,8
0.78323,0.75,long,29,9
0.64982,0.5,long,30,0
0.88029,0.85,long,31,1
0.7928,0.7,long,32,2
0.73946,0.65,long,33,3
0.56241,0.5,long,34,4
0.5624,0.5,long,35,5
0.52323,0.5,long,36,6
0.84647,0.85,long,37,7
0.74045,0.7,long,38,8
0.78323,0.75,long,39,9
0.64982,0.5,long,40,0
0.88029,0.85,long,41,1
0.7928,0.75,long,42,2
0.73946,0.7,long,43,3
0.56241,0.5,long,44,4
0.5624,0.5,long,45,5
0.52323,0.5,long,46,6
0.84647,0.85,long,47,7
0.74045,0.7,long,48,8
0.78323,0.75,long,49,9
